student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1878,21,Male,3.5,1.3,1.8,Yes,60.6,4.8,Fair,4,Bachelor,Good,2,No,60.0
S1879,21,Female,0.8,2.3,1.0,No,91.8,6.7,Fair,2,High School,Poor,6,No,44.3
S1880,21,Male,2.5,3.2,2.0,No,76.9,4.1,Fair,1,Bachelor,Good,6,No,41.6
S1881,22,Male,2.9,2.7,2.6,Yes,86.8,4.7,Fair,3,Master,Average,1,No,45.5
S1882,19,Other,2.7,1.8,0.0,No,72.5,6.5,Fair,4,Bachelor,Poor,7,No,68.2
S1883,24,Male,3.7,2.8,2.1,No,82.3,5.8,Good,6,High School,Average,4,No,75.5
S1884,24,Female,2.3,3.4,2.8,No,85.3,8.9,Good,0,Master,Good,3,No,40.9
S1885,21,Male,5.2,0.0,1.3,No,87.7,8.7,Fair,6,High School,Poor,8,No,100.0
S1886,17,Female,3.5,3.9,2.6,No,73.9,5.5,Fair,4,High School,Good,2,Yes,65.6
S1887,22,Male,3.5,2.1,4.9,No,97.0,7.2,Good,5,null,Poor,9,No,75.9
S1888,20,Other,3.0,3.0,1.7,Yes,79.0,7.4,Fair,4,Bachelor,Good,8,Yes,69.8
S1889,17,Male,3.7,3.9,2.2,Yes,68.3,5.8,Fair,0,High School,Good,8,No,66.6
S1890,23,Male,4.7,0.9,1.0,Yes,83.9,4.7,Fair,5,High School,Average,3,No,84.5
S1891,23,Male,2.2,1.6,2.0,Yes,85.3,6.5,Good,5,High School,Average,4,Yes,65.6
S1892,17,Male,2.5,2.2,2.3,No,86.6,6.3,Fair,0,High School,Good,2,No,46.8
S1893,21,Female,3.0,1.6,2.0,No,98.6,6.0,Good,5,Bachelor,Good,2,No,67.7
S1894,20,Male,1.5,4.6,0.7,Yes,82.6,7.0,Good,1,Bachelor,Good,4,Yes,45.4
S1895,20,Female,2.3,1.5,2.0,No,83.8,5.6,Fair,3,Bachelor,Average,6,No,57.0
S1896,22,Male,2.8,1.8,3.4,Yes,74.0,5.1,Good,6,High School,Average,5,No,58.4
S1897,20,Male,4.8,2.7,2.3,No,93.2,6.6,Good,1,High School,Good,1,Yes,70.8
S1898,23,Female,3.9,1.1,2.9,No,86.8,7.0,Fair,1,Master,Average,10,No,75.7
S1899,19,Female,3.8,2.0,1.5,No,80.8,5.1,Poor,0,null,Average,1,No,55.7
S1900,21,Male,4.8,2.9,2.6,No,66.0,7.6,Poor,0,Master,Average,6,Yes,82.1
S1901,20,Male,3.3,2.1,2.1,No,99.4,4.4,Fair,6,High School,Good,3,Yes,71.4
S1902,22,Male,4.1,2.4,0.8,No,72.7,5.8,Fair,3,Master,Good,3,No,66.7
S1903,23,Female,3.3,1.9,2.2,No,79.1,6.2,Fair,4,High School,Average,7,No,70.9
S1904,19,Female,3.9,0.7,0.7,Yes,88.6,5.7,Poor,1,High School,Poor,1,Yes,73.0
S1905,18,Male,2.6,2.9,1.1,Yes,73.0,5.8,Good,5,Bachelor,Poor,1,Yes,53.9
S1906,18,Female,0.0,4.6,2.0,Yes,70.1,8.7,Fair,3,Bachelor,Average,10,No,43.4
S1907,19,Female,3.3,2.5,2.1,No,63.8,5.5,Fair,1,High School,Average,3,No,55.4
S1908,23,Female,5.6,2.8,0.5,Yes,92.2,9.4,Fair,4,Bachelor,Good,8,No,100.0
S1909,22,Female,4.9,3.3,3.0,No,79.5,7.0,Fair,5,Bachelor,Average,1,No,71.8
S1910,19,Male,4.9,1.0,2.4,No,100.0,6.6,Fair,1,null,Average,10,No,89.2
S1911,21,Male,5.4,4.5,1.0,No,75.1,7.1,Fair,2,null,Good,4,No,83.9
S1912,21,Male,3.6,2.7,0.1,No,75.8,9.5,Poor,6,High School,Average,9,No,89.1
S1913,18,Male,3.8,4.5,1.6,Yes,79.3,5.3,Good,3,High School,Good,4,No,53.5
S1914,20,Female,2.6,1.6,1.3,Yes,87.4,5.2,Good,6,Bachelor,Poor,10,No,72.9
S1915,22,Female,3.0,4.7,1.9,No,80.3,5.6,Fair,0,High School,Average,8,No,61.0
S1916,18,Male,4.4,3.4,1.4,No,91.1,6.5,Good,1,High School,Good,7,No,69.1
S1917,20,Male,5.3,3.2,0.0,No,75.2,4.4,Good,5,High School,Good,3,No,77.2
S1918,20,Male,3.3,2.8,1.4,Yes,71.2,6.5,Poor,5,Bachelor,Average,7,No,71.9
S1919,24,Female,2.8,2.2,1.5,No,67.0,8.5,Good,3,High School,Good,7,Yes,74.7
S1920,21,Male,3.5,3.9,2.5,Yes,62.8,6.7,Good,3,null,Good,10,No,74.5
S1921,23,Female,4.4,2.7,1.0,No,79.8,6.1,Fair,6,null,Average,3,No,85.4
S1922,17,Male,1.3,0.1,3.6,No,82.0,5.8,Poor,5,Master,Average,2,Yes,44.3
S1923,23,Male,0.1,1.2,0.0,No,78.7,7.6,Poor,5,High School,Good,9,No,53.4
S1924,17,Other,2.7,2.3,3.2,Yes,97.4,5.5,Poor,5,Bachelor,Average,1,Yes,57.4
S1925,19,Other,1.7,2.9,1.6,Yes,97.3,8.7,Good,1,null,Good,7,No,53.6
S1926,21,Male,2.7,2.4,2.7,No,81.7,8.8,Fair,5,High School,Good,4,Yes,58.8
S1927,20,Female,3.3,4.0,1.9,No,67.1,6.8,Good,0,Bachelor,Good,2,No,43.5
S1928,22,Female,2.8,0.2,3.1,No,79.3,6.5,Good,5,High School,Average,2,No,65.6
S1929,17,Female,5.7,2.7,1.4,No,79.0,7.7,Good,0,Master,Average,8,Yes,89.8
S1930,23,Male,4.0,0.3,0.6,No,78.4,7.8,Good,1,Master,Good,7,No,89.5
S1931,20,Female,4.0,3.4,3.4,Yes,78.0,5.5,Poor,3,Bachelor,Average,7,Yes,68.8
S1932,17,Female,4.4,2.4,1.7,No,78.5,5.9,Fair,0,Bachelor,Average,5,No,76.8
S1933,17,Female,1.8,3.0,2.0,No,81.1,4.9,Good,1,High School,Average,10,No,47.5
S1934,24,Male,5.1,1.5,3.2,No,78.6,7.0,Poor,5,High School,Poor,8,Yes,89.3
S1935,17,Male,3.4,4.0,0.7,Yes,87.1,7.3,Poor,1,Master,Good,2,No,62.0
S1936,22,Male,4.5,3.8,2.5,No,88.6,4.9,Good,5,Bachelor,Average,2,Yes,66.1
S1937,21,Female,1.9,3.2,1.2,No,75.9,6.0,Good,6,Bachelor,Good,5,No,41.7
S1938,22,Male,1.2,2.3,1.7,No,97.7,4.9,Fair,1,High School,Poor,1,No,28.0
S1939,18,Female,4.7,3.2,1.9,No,75.2,5.4,Good,3,null,Good,6,No,71.0
S1940,20,Other,4.1,1.7,0.1,Yes,68.8,7.2,Good,0,Master,Average,4,No,67.5
S1941,21,Male,2.1,3.5,0.9,No,88.8,5.6,Fair,6,High School,Good,6,No,63.4
S1942,24,Female,2.2,4.5,3.3,No,76.8,6.1,Poor,3,High School,Good,7,No,50.2
S1943,21,Male,5.2,3.8,2.8,No,88.2,4.5,Good,2,High School,Poor,3,No,72.0
S1944,21,Female,1.7,1.6,1.7,No,61.0,6.7,Fair,5,Bachelor,Good,8,Yes,67.9
S1945,23,Male,6.0,2.9,2.1,Yes,98.9,6.4,Poor,0,null,Average,7,No,100.0
S1946,21,Female,2.1,0.9,1.5,No,91.7,5.6,Fair,3,Bachelor,Good,1,Yes,55.0
S1947,24,Female,4.5,3.2,3.3,Yes,70.0,6.3,Good,0,High School,Good,6,Yes,59.9
S1948,22,Female,3.0,3.0,1.6,No,70.2,6.7,Fair,2,Master,Good,7,No,63.2
S1949,21,Female,4.4,0.3,2.1,No,100.0,5.5,Fair,4,Bachelor,Good,4,No,84.5
S1950,19,Female,2.7,1.1,3.1,No,77.6,4.7,Fair,5,High School,Average,2,No,50.8
S1951,20,Female,3.3,2.2,0.9,No,76.7,8.7,Good,5,Bachelor,Poor,10,No,94.0
S1952,21,Female,3.6,2.1,3.5,Yes,62.3,5.7,Poor,1,High School,Average,9,No,65.6
S1953,20,Female,2.0,1.0,0.1,No,81.5,6.4,Fair,5,High School,Average,7,No,61.7
S1954,19,Male,4.6,3.0,3.6,No,82.7,7.7,Good,5,Master,Good,1,Yes,66.0
S1955,19,Female,2.7,2.8,1.4,Yes,92.2,10.0,Poor,3,High School,Average,8,No,86.9
S1956,20,Female,3.2,2.3,1.5,No,71.0,5.0,Good,6,High School,Good,3,No,59.6
S1957,17,Female,2.0,1.6,0.0,No,69.8,7.0,Good,5,High School,Average,4,No,49.1
S1958,18,Male,0.0,3.8,1.3,Yes,89.5,5.7,Good,5,High School,Average,5,No,31.1
S1959,23,Female,3.2,4.5,0.7,No,95.1,5.9,Fair,2,Master,Good,1,No,45.7
S1960,17,Male,7.1,1.9,1.1,Yes,69.3,5.6,Good,6,High School,Average,6,No,100.0
S1961,17,Female,4.7,1.8,1.6,No,95.8,5.1,Good,2,Master,Good,10,No,81.1
S1962,22,Male,3.5,3.1,2.9,Yes,85.4,6.5,Good,0,Master,Average,6,No,55.1
S1963,23,Female,3.1,2.1,2.0,No,95.9,4.7,Poor,0,High School,Good,2,No,53.3
S1964,23,Other,3.5,2.3,2.1,No,84.3,7.6,Good,5,High School,Poor,10,Yes,89.1
S1965,17,Male,4.3,3.4,0.6,No,59.8,6.6,Fair,5,Master,Average,6,Yes,77.3
S1966,21,Other,1.7,0.2,0.8,No,83.5,7.0,Poor,1,High School,Good,8,Yes,56.4
S1967,22,Male,5.2,4.1,3.8,No,95.6,5.9,Fair,0,null,Good,6,No,76.1
S1968,22,Female,4.6,2.6,1.0,No,76.1,6.1,Good,3,High School,Average,4,No,74.6
S1969,19,Female,4.6,2.0,3.6,Yes,81.1,6.8,Fair,5,Bachelor,Average,4,No,83.0
S1970,24,Female,4.2,2.4,1.5,No,83.2,5.1,Fair,3,Bachelor,Average,9,Yes,85.9
S1971,23,Female,3.5,2.5,1.8,No,56.0,6.1,Good,5,High School,Average,6,No,64.5
S1972,17,Female,4.5,0.4,3.0,No,100.0,5.5,Fair,3,High School,Good,8,No,91.9
S1973,19,Male,4.4,4.3,3.2,No,76.0,5.4,Good,4,Master,Good,8,No,74.6
S1974,20,Male,3.0,2.5,1.7,No,90.1,4.0,Fair,3,Bachelor,Poor,7,No,70.9
S1975,18,Female,2.6,3.0,1.4,No,84.1,8.1,Fair,6,Bachelor,Average,3,No,66.7
S1976,24,Female,3.7,3.6,1.7,No,97.6,5.7,Good,0,Bachelor,Good,10,Yes,77.4
S1977,24,Female,5.8,1.3,2.2,Yes,89.1,7.9,Good,5,High School,Average,1,Yes,99.0
S1978,24,Female,1.6,3.1,2.8,No,82.7,7.8,Fair,0,Bachelor,Good,5,Yes,43.5
S1979,22,Male,1.3,2.2,1.8,No,76.1,5.0,Good,6,High School,Poor,10,No,53.4
S1980,20,Female,3.7,3.5,2.5,No,93.0,5.2,Poor,6,High School,Good,10,Yes,81.0
S1981,24,Male,3.6,0.0,3.6,No,66.3,9.6,Fair,3,Bachelor,Average,2,No,66.2
S1982,20,Female,3.8,2.4,2.2,Yes,91.5,8.6,Fair,2,High School,Good,10,No,88.0
S1983,21,Male,3.9,1.8,2.1,No,74.0,6.5,Poor,2,Master,Average,2,No,64.4
S1984,24,Male,3.2,3.0,0.1,No,97.5,6.8,Fair,6,High School,Average,7,No,82.4
S1985,18,Male,5.7,3.1,0.0,Yes,86.6,5.7,Fair,2,Master,Good,3,Yes,80.9
S1986,20,Male,1.1,1.7,2.2,No,91.4,7.0,Poor,5,Master,Poor,8,No,59.6
S1987,20,Female,2.3,1.6,1.7,Yes,85.8,5.6,Fair,1,High School,Average,9,No,56.2
S1988,18,Male,3.3,2.4,1.2,No,67.5,4.1,Fair,4,Bachelor,Average,8,Yes,72.5
S1989,24,Male,1.0,1.4,2.1,Yes,76.4,4.9,Fair,3,High School,Average,6,No,47.6
S1990,18,Male,3.2,3.5,1.7,No,91.7,6.5,Good,1,Master,Good,5,No,63.6
S1991,20,Male,6.0,2.1,3.0,No,86.7,5.1,Good,2,High School,Good,3,No,85.3
S1992,18,Male,3.5,0.0,1.9,No,96.8,6.4,Fair,3,Bachelor,Poor,3,No,71.8
S1993,20,Male,3.8,2.1,1.0,No,89.0,5.2,Good,1,High School,Good,7,No,70.9
S1994,20,Female,1.6,1.3,2.9,No,75.3,5.6,Good,0,High School,Average,5,No,41.7
S1995,21,Female,2.6,0.5,1.6,No,77.0,7.5,Fair,2,High School,Good,6,Yes,76.1
S1996,17,Female,2.9,1.0,2.4,Yes,86.0,6.8,Poor,1,High School,Average,6,Yes,65.9
S1997,20,Male,3.0,2.6,1.3,No,61.9,6.5,Good,5,Bachelor,Good,9,Yes,64.4
S1998,24,Male,5.4,4.1,1.1,Yes,100.0,7.6,Fair,0,Bachelor,Average,1,No,69.7
S1999,19,Female,4.3,2.9,1.9,No,89.4,7.1,Good,2,Bachelor,Average,8,No,74.9
S2000,24,Male,8.0,1.6,5.0,No,81.6,7.0,Fair,9,Bachelor,Poor,8,No,88.4
S2001,24,Other,4.0,4.9,0.2,Yes,65.4,5.1,Poor,9,Master,Good,3,No,28.9
S2002,23,Male,1.9,0.2,3.0,Yes,70.8,6.6,Poor,3,High School,Good,8,No,60.4
S2003,19,Female,3.0,2.9,4.6,No,58.3,4.9,Poor,7,Bachelor,Poor,6,No,50.0
S2004,20,Male,2.4,1.5,2.9,No,61.8,3.7,Fair,4,Bachelor,Average,10,No,69.6
S2005,24,Male,1.5,5.0,1.0,No,63.5,8.8,Fair,5,None,Average,3,No,95.8
S2006,17,Female,2.7,4.8,2.4,Yes,78.9,4.6,Fair,5,Bachelor,Average,9,No,88.3
S2007,19,Male,7.8,5.1,0.6,No,87.5,3.6,Fair,10,High School,Average,6,Yes,99.8
S2008,21,Other,1.4,3.8,1.4,No,93.8,9.7,Good,4,Master,Good,2,No,43.1
S2009,18,Female,3.3,2.1,0.3,Yes,89.7,9.4,Good,0,Master,Good,1,No,27.6
S2010,22,Other,5.7,3.2,3.9,Yes,87.7,7.8,Poor,7,Bachelor,Good,2,No,48.6
S2011,22,Male,3.7,3.5,0.7,No,57.5,7.1,Poor,2,High School,Good,4,No,38.8
S2012,17,Other,0.5,5.4,0.4,Yes,69.3,9.0,Poor,1,Master,Good,3,No,93.9
S2013,21,Female,5.9,6.3,3.5,Yes,72.0,6.9,Good,1,Master,Good,6,Yes,61.7
S2014,21,Male,6.6,0.9,1.3,No,74.7,8.5,Fair,3,Master,Average,4,No,57.6
S2015,23,Male,3.7,3.7,0.9,Yes,86.0,6.9,Poor,7,Master,Average,2,Yes,83.2
S2016,20,Male,1.0,0.3,5.3,Yes,62.2,3.9,Fair,7,Master,Good,5,No,44.3
S2017,24,Other,1.6,0.4,2.6,No,77.2,6.9,Fair,9,High School,Good,2,Yes,86.3
S2018,23,Other,1.5,4.8,2.6,No,56.6,9.7,Poor,1,Bachelor,Poor,6,No,80.8
S2019,19,Male,3.9,6.1,4.3,Yes,74.8,9.1,Poor,0,High School,Average,10,No,43.9
S2020,21,Male,5.1,6.2,2.1,Yes,90.1,5.1,Good,4,Bachelor,Poor,2,No,18.5
S2021,24,Other,4.2,3.7,4.8,No,59.7,6.7,Fair,2,Bachelor,Average,6,Yes,62.3
S2022,24,Male,7.9,2.0,4.1,Yes,67.9,5.3,Fair,1,Master,Average,1,No,94.0
S2023,24,Other,7.0,1.9,2.0,No,81.4,5.3,Poor,0,High School,Good,5,Yes,27.5
S2024,20,Male,2.9,4.2,5.4,Yes,67.7,5.4,Fair,6,None,Poor,3,Yes,75.2
S2025,17,Male,2.2,2.2,1.5,No,85.9,4.2,Good,7,Master,Poor,2,Yes,25.3
S2026,19,Male,5.7,3.2,1.3,No,65.3,6.6,Fair,6,High School,Average,9,Yes,24.7
S2027,18,Female,7.5,1.1,2.9,No,79.7,6.3,Fair,9,Master,Good,7,No,48.3
S2028,23,Female,6.5,1.5,3.8,Yes,78.2,5.2,Fair,0,Bachelor,Good,7,No,68.7
S2029,19,Other,0.6,5.9,4.0,No,88.8,4.6,Fair,1,None,Good,7,Yes,54.2
S2030,20,Male,5.8,2.3,4.4,Yes,60.4,6.7,Good,6,None,Good,3,Yes,68.9
S2031,23,Female,1.9,0.3,2.8,Yes,99.7,8.5,Poor,8,High School,Average,9,No,34.7
S2032,23,Male,1.1,0.9,2.3,No,74.4,8.4,Fair,0,None,Average,5,Yes,57.0
S2033,23,Female,5.6,6.3,0.1,No,68.0,7.7,Fair,1,Master,Poor,8,No,27.8
S2034,17,Female,6.9,4.8,4.7,No,56.1,6.4,Good,1,Bachelor,Good,7,No,56.4
S2035,23,Male,8.0,5.3,1.2,Yes,61.8,9.1,Fair,9,None,Good,6,No,64.2
S2036,21,Other,3.1,0.2,0.9,No,98.1,5.4,Good,1,Master,Good,5,Yes,80.0
S2037,23,Other,7.3,0.0,3.0,No,65.7,5.9,Fair,2,None,Good,2,Yes,83.5
S2038,20,Female,6.2,3.9,0.3,No,63.5,7.9,Poor,8,Master,Poor,1,Yes,58.5
S2039,22,Female,8.1,2.3,0.9,Yes,94.3,9.0,Poor,3,High School,Poor,5,Yes,29.3
S2040,21,Other,8.4,0.4,4.8,No,79.6,3.6,Poor,8,None,Poor,1,Yes,22.9
S2041,23,Male,0.2,6.4,1.7,No,89.5,5.0,Fair,10,Master,Average,4,Yes,34.2
S2042,22,Female,0.7,3.3,2.0,Yes,75.7,4.0,Fair,3,Bachelor,Average,9,Yes,80.0
S2043,21,Female,3.9,0.4,3.4,Yes,69.0,6.7,Good,2,High School,Poor,10,Yes,38.9
S2044,19,Female,6.8,2.5,2.9,Yes,85.7,8.7,Fair,8,None,Average,3,Yes,72.3
S2045,18,Other,3.5,1.8,0.8,Yes,92.5,7.7,Poor,7,Master,Average,1,No,90.1
S2046,22,Female,0.1,2.1,4.1,Yes,88.0,9.4,Poor,1,High School,Poor,6,Yes,95.2
S2047,21,Male,3.7,6.3,3.1,Yes,93.8,3.8,Poor,8,High School,Average,7,Yes,58.8
S2048,17,Male,3.1,4.7,5.4,Yes,70.4,4.6,Poor,7,Bachelor,Average,2,No,92.7
S2049,22,Male,7.4,5.7,4.3,No,60.5,9.2,Fair,3,Master,Poor,8,No,74.8
S2050,17,Other,0.5,1.0,0.1,Yes,64.6,7.0,Fair,1,None,Poor,6,Yes,37.0
S2051,21,Male,3.4,1.2,3.8,Yes,58.8,5.0,Poor,5,High School,Average,1,No,91.5
S2052,24,Other,2.0,5.4,0.3,No,77.3,5.4,Poor,3,Master,Poor,9,Yes,64.3
S2053,21,Other,3.7,2.4,4.5,Yes,71.6,6.5,Poor,2,High School,Poor,9,Yes,33.1
S2054,20,Other,7.1,5.8,5.4,Yes,77.6,6.9,Poor,8,None,Average,10,Yes,92.9
S2055,24,Female,5.1,3.7,0.3,No,86.2,9.1,Good,0,Bachelor,Average,3,Yes,72.1
S2056,19,Male,4.5,4.7,0.9,No,92.1,8.7,Poor,0,None,Average,6,Yes,32.5
S2057,20,Other,6.7,4.8,3.5,No,77.1,9.2,Poor,8,High School,Poor,4,No,23.4
S2058,23,Male,1.9,4.4,3.5,No,96.3,5.6,Poor,9,Master,Good,7,Yes,90.9
S2059,17,Other,4.1,6.4,1.7,Yes,99.5,9.6,Fair,10,None,Poor,5,Yes,46.3
S2060,18,Female,6.1,0.4,2.6,No,96.9,9.9,Poor,5,Master,Good,1,No,25.8
S2061,20,Male,2.9,1.2,0.7,Yes,67.9,6.6,Fair,4,Bachelor,Poor,5,No,52.8
S2062,18,Male,5.7,0.3,4.5,Yes,88.0,7.9,Poor,7,High School,Average,1,Yes,42.0
S2063,21,Female,1.0,3.9,2.9,No,80.9,5.0,Poor,6,Bachelor,Average,6,No,83.7
S2064,18,Female,2.0,4.5,2.2,Yes,98.8,4.4,Good,9,High School,Average,10,Yes,70.7
S2065,17,Other,4.5,4.3,0.1,No,69.3,5.6,Poor,2,Bachelor,Average,6,Yes,44.4
S2066,24,Male,6.4,6.2,1.8,Yes,98.9,4.8,Poor,3,Master,Poor,3,No,19.0
S2067,23,Male,0.1,1.2,3.5,Yes,96.1,8.2,Poor,6,High School,Good,5,Yes,79.3
S2068,23,Male,5.4,2.8,3.1,No,91.5,7.3,Poor,3,High School,Poor,2,Yes,93.1
S2069,20,Other,2.7,6.4,3.7,Yes,99.3,8.5,Fair,10,Master,Good,7,Yes,29.1
S2070,18,Other,3.6,1.3,1.9,No,67.1,8.5,Poor,4,Master,Good,1,No,33.6
S2071,20,Female,4.6,3.1,3.7,No,70.0,5.6,Good,3,Master,Average,7,Yes,85.2
S2072,21,Female,3.5,3.1,2.9,Yes,88.2,8.0,Poor,10,Master,Good,5,Yes,92.7
S2073,20,Male,2.9,1.2,4.6,No,66.1,3.5,Poor,4,Bachelor,Good,2,Yes,41.0
S2074,18,Female,6.7,4.9,4.2,Yes,77.1,4.1,Fair,9,None,Average,2,Yes,63.1
S2075,17,Male,6.5,1.5,2.0,No,61.2,3.7,Fair,4,High School,Good,4,Yes,38.3
S2076,18,Female,6.1,4.4,3.7,No,88.1,7.8,Poor,7,Bachelor,Poor,9,Yes,37.5
S2077,22,Male,7.6,0.1,2.5,Yes,83.9,6.7,Poor,0,None,Poor,10,Yes,23.0
S2078,22,Female,1.5,5.4,4.5,No,80.8,6.8,Poor,5,Master,Good,2,Yes,79.0
S2079,18,Male,0.3,2.6,2.7,No,84.9,3.8,Poor,8,None,Poor,6,Yes,35.1
S2080,19,Other,1.3,2.6,3.5,No,91.6,7.7,Poor,8,Master,Poor,1,Yes,60.4
S2081,18,Other,0.1,5.2,4.9,No,72.6,5.5,Fair,0,Master,Average,8,No,51.5
S2082,22,Female,4.0,5.8,4.7,Yes,67.7,5.0,Fair,1,Bachelor,Good,10,Yes,27.7
S2083,24,Other,6.4,4.9,4.7,Yes,86.6,4.3,Fair,10,Bachelor,Poor,9,No,90.3
S2084,24,Other,1.3,4.5,2.0,No,58.1,4.6,Poor,3,Master,Good,6,No,82.4
S2085,21,Female,6.3,4.2,1.7,No,80.2,7.1,Fair,10,None,Good,4,Yes,46.8
S2086,22,Male,3.6,2.8,0.8,Yes,90.0,5.2,Poor,2,Master,Poor,8,Yes,62.6
S2087,19,Male,0.7,2.8,2.0,Yes,94.4,7.7,Good,7,Master,Good,1,Yes,55.9
S2088,23,Female,6.0,0.8,2.2,No,73.3,8.6,Good,3,Master,Poor,3,No,32.9
S2089,17,Male,6.1,3.2,4.1,Yes,75.4,9.4,Good,4,Master,Good,6,Yes,68.4
S2090,18,Female,3.8,0.8,3.5,Yes,78.1,8.5,Good,5,High School,Average,8,Yes,33.1
S2091,23,Other,4.8,6.4,0.3,No,64.8,6.8,Poor,3,Bachelor,Average,1,Yes,24.8
S2092,20,Male,5.7,1.6,2.7,Yes,72.1,4.8,Poor,8,High School,Average,7,No,22.1
S2093,22,Other,5.5,0.4,2.4,No,92.9,5.6,Fair,0,Bachelor,Average,9,Yes,87.1
S2094,24,Male,2.3,2.9,3.3,Yes,83.4,5.9,Good,0,High School,Poor,9,Yes,73.8
S2095,20,Other,7.8,3.5,1.2,Yes,85.9,6.6,Good,10,Bachelor,Good,6,Yes,29.6
S2096,19,Other,6.1,3.3,1.3,No,93.3,4.4,Poor,1,Master,Average,1,Yes,89.5
S2097,22,Male,1.9,5.3,3.4,Yes,87.8,3.8,Fair,5,High School,Good,8,No,97.8
S2098,19,Other,1.0,4.7,5.4,Yes,82.3,7.6,Poor,7,High School,Poor,5,Yes,25.5
S2099,19,Female,0.9,5.9,0.2,No,80.2,9.6,Fair,4,Master,Poor,2,No,31.6
S2100,17,Female,2.4,4.1,2.6,No,99.8,9.5,Fair,9,Bachelor,Poor,1,No,29.8
S2101,21,Male,1.4,6.2,5.4,Yes,56.8,7.1,Good,7,None,Good,6,No,97.7
S2102,22,Female,3.9,3.1,4.8,No,93.2,7.3,Poor,3,High School,Poor,10,No,85.3
S2103,22,Other,6.9,3.2,1.4,Yes,99.8,5.5,Poor,1,High School,Poor,6,Yes,79.2
S2104,21,Female,3.1,0.8,2.9,Yes,59.6,4.5,Fair,10,Bachelor,Good,5,Yes,22.9
S2105,22,Female,0.6,6.4,0.7,Yes,59.9,6.7,Poor,7,None,Average,3,Yes,20.3
S2106,19,Male,5.0,5.2,2.6,Yes,93.5,9.6,Good,0,None,Average,5,Yes,63.0
S2107,17,Male,2.4,2.2,2.9,Yes,69.3,5.2,Fair,0,None,Poor,9,Yes,64.4
S2108,21,Male,8.2,4.4,4.7,Yes,96.1,7.9,Poor,7,High School,Good,3,Yes,41.3
S2109,18,Female,7.1,4.1,4.8,Yes,58.1,8.3,Poor,9,High School,Good,6,No,46.5
S2110,18,Female,5.2,4.4,0.4,Yes,68.2,5.0,Good,0,None,Average,6,No,20.2
S2111,22,Other,4.6,0.7,2.6,Yes,99.8,9.4,Fair,10,Bachelor,Good,3,Yes,26.3
S2112,22,Male,5.9,3.3,0.6,No,66.7,6.8,Good,10,Master,Poor,8,No,54.3
S2113,18,Other,4.2,2.5,1.0,No,84.4,10.0,Fair,1,Master,Poor,6,No,52.6
S2114,18,Other,2.0,4.4,2.6,Yes,60.9,9.6,Good,1,High School,Average,7,No,78.3
S2115,24,Other,2.3,5.0,5.2,No,97.5,5.9,Good,5,Master,Good,8,Yes,44.4
S2116,18,Other,7.6,5.9,2.5,No,94.2,5.0,Good,7,High School,Good,10,Yes,92.4
S2117,24,Female,4.1,3.1,4.7,No,56.1,9.4,Good,10,High School,Good,6,No,71.3
S2118,17,Male,1.4,5.7,3.3,Yes,76.0,9.9,Good,7,None,Good,7,No,38.3
S2119,18,Other,1.9,4.4,3.5,No,67.1,8.8,Fair,8,High School,Good,5,Yes,46.6
S2120,17,Female,4.5,1.5,0.4,Yes,90.3,4.3,Good,2,None,Average,8,No,36.0
S2121,21,Male,2.9,6.1,4.4,No,81.3,3.8,Fair,3,High School,Good,4,No,68.5
S2122,20,Other,7.7,1.4,2.2,No,76.2,6.7,Fair,9,Master,Average,5,No,63.3
S2123,18,Male,3.2,6.3,0.1,No,76.7,8.2,Good,2,None,Poor,9,No,84.2
S2124,18,Male,4.4,0.7,1.3,No,96.5,5.5,Good,3,Bachelor,Poor,8,Yes,21.8
S2125,18,Male,6.6,0.7,1.4,No,80.9,5.2,Fair,7,None,Poor,9,Yes,57.1
S2126,17,Other,2.8,4.9,2.2,Yes,91.8,8.7,Fair,5,Master,Poor,8,No,88.4
S2127,17,Female,6.7,4.3,4.2,Yes,76.3,6.5,Poor,2,High School,Average,5,No,43.2
S2128,23,Male,1.6,0.1,4.4,No,93.1,4.3,Fair,5,Master,Poor,10,No,83.5
S2129,20,Male,8.5,3.1,0.9,Yes,95.8,5.3,Fair,5,None,Poor,3,Yes,61.9
S2130,23,Other,7.8,2.2,0.3,No,79.4,6.4,Good,9,High School,Average,7,No,28.5
S2131,17,Other,3.2,2.4,3.8,Yes,70.3,6.7,Good,6,None,Good,10,No,31.5
S2132,17,Other,1.1,3.8,3.8,Yes,98.7,8.4,Poor,6,Bachelor,Poor,3,Yes,82.3
S2133,24,Other,2.9,4.3,2.9,Yes,89.7,8.0,Good,10,High School,Poor,5,No,93.8
S2134,19,Female,1.4,6.1,4.9,Yes,66.9,5.6,Good,5,Master,Good,10,Yes,89.2
S2135,20,Other,2.2,1.5,0.2,Yes,99.9,7.7,Good,2,High School,Good,10,Yes,53.5
S2136,22,Other,1.4,1.9,2.1,Yes,70.2,6.8,Good,4,High School,Good,4,No,21.4
S2137,17,Other,3.8,3.8,5.1,No,92.2,4.4,Poor,7,Bachelor,Average,10,Yes,57.7
S2138,21,Other,8.2,4.5,3.3,No,70.2,7.6,Poor,0,Master,Average,1,Yes,64.6
